sep=,
"amount_usd","USD"
$21.6K,$21.6K
$419,$419
$118,$118
$34.8K,$34.8K
$1.68K,$1.68K
$2.48K,$2.48K
$48.4K,$48.4K
$630,$630
$1.50K,$1.50K
$5.82K,$5.82K
$643,$643
$1.78K,$1.78K
$6.15K,$6.15K
$2.06K,$2.06K
$2.87K,$2.87K
$1.18K,$1.18K
$4.18K,$4.18K
$911,$911
$3.43K,$3.43K
$1.89K,$1.89K
$2.59K,$2.59K
$11.7K,$11.7K
$1.50K,$1.50K
$1.84K,$1.84K

